metric,chatgpt-general_mean,chatgpt-general_std,chatgpt-topic-specific_mean,chatgpt-topic-specific_std,claimreview_mean,claimreview_std
WC,20.9,5.8,19.38,4.64,18.84,12.57
Analytic,97.29,7.07,95.03,8.78,80.34,28.68
Clout,38.55,28.18,37.37,27.53,59.59,35.04
Authentic,41.74,36.73,42.59,33.56,31.44,33.43
Tone,12.14,25.8,7.55,21.24,27.29,40.3
WPS,20.9,5.8,19.38,4.64,14.37,6.97
BigWords,40.1,8.68,38.65,10.5,32.76,13.93
Dic,85.47,6.47,81.88,7.92,73.57,14.56
Linguistic,54.76,7.21,47.73,10.7,48.44,16.6
function,44.54,6.35,37.77,10.42,38.91,14.71
pronoun,2.09,3.15,1.56,2.57,5.49,7.09
ppron,0.78,2.16,1.22,2.33,2.99,4.58
i,0.0,0.0,0.0,0.0,0.58,2.11
we,0.01,0.24,0.0,0.0,0.54,2.29
you,0.0,0.0,0.0,0.0,0.25,1.15
shehe,0.0,0.0,0.0,0.0,0.94,2.45
they,0.64,2.0,1.06,2.16,0.49,1.73
ipron,1.31,2.27,0.34,1.28,2.5,4.23
det,15.48,4.05,12.47,6.48,11.78,7.62
article,13.57,3.82,10.49,6.11,7.77,6.4
number,0.18,1.11,0.08,0.77,2.34,4.64
prep,17.38,4.63,15.88,5.2,13.91,6.49
auxverb,6.58,2.57,4.89,3.03,5.45,5.92
adverb,0.35,1.68,0.43,1.53,2.14,3.84
conj,4.23,2.93,4.69,4.05,3.19,4.23
negate,0.21,1.19,0.31,1.25,1.35,3.16
verb,9.38,3.88,10.13,4.12,11.17,8.66
adj,7.25,4.93,3.84,3.93,3.91,4.91
quantity,0.48,1.76,1.88,3.23,2.35,4.71
Drives,7.12,5.93,9.95,5.87,9.19,8.93
affiliation,0.65,1.92,0.23,1.06,1.55,3.77
achieve,1.14,2.58,1.14,2.73,0.65,2.31
power,5.33,5.18,8.79,5.4,7.02,8.19
Cognition,8.16,5.18,16.86,7.73,6.64,7.7
allnone,0.03,0.31,0.08,0.61,0.86,2.58
cogproc,8.14,5.17,16.78,7.79,5.69,6.73
insight,0.97,2.42,0.59,1.65,1.36,2.87
cause,3.78,4.09,11.32,5.86,0.8,2.46
discrep,0.19,1.0,0.27,1.19,0.53,1.85
tentat,0.19,0.98,0.36,1.41,0.76,2.15
certitude,0.0,0.0,0.01,0.25,0.42,1.61
differ,3.17,4.12,4.31,4.56,2.08,3.86
memory,0.0,0.0,0.0,0.0,0.01,0.25
Affect,7.79,5.22,7.7,5.26,5.15,6.65
tone_pos,1.34,2.34,0.87,2.32,1.32,3.42
tone_neg,6.45,5.22,6.82,4.96,3.81,6.28
emotion,0.19,0.96,0.44,1.57,0.64,2.58
emo_pos,0.0,0.0,0.0,0.0,0.23,1.52
emo_neg,0.17,0.93,0.36,1.43,0.41,2.13
emo_anx,0.02,0.33,0.12,0.96,0.02,0.31
emo_anger,0.09,0.67,0.16,0.91,0.03,0.34
emo_sad,0.0,0.0,0.0,0.0,0.18,1.5
swear,0.0,0.0,0.03,0.31,0.02,0.33
Social,9.32,5.43,7.0,4.64,13.4,10.54
socbehav,6.28,4.21,3.7,3.91,6.89,7.3
prosocial,0.52,2.02,0.46,1.95,0.99,2.62
polite,0.0,0.0,0.05,0.42,0.16,1.0
conflict,4.66,3.61,2.44,3.09,1.77,4.43
moral,0.53,1.86,0.22,1.07,0.58,1.9
comm,0.12,0.86,0.22,1.06,2.28,4.32
socrefs,2.45,3.34,3.33,3.7,6.15,7.37
family,0.02,0.27,0.0,0.0,0.57,2.36
friend,0.01,0.21,0.0,0.0,0.0,0.0
female,0.0,0.0,0.02,0.26,0.37,1.77
male,0.0,0.0,0.0,0.0,1.19,2.98
Culture,10.98,7.41,8.9,5.7,8.18,7.97
politic,5.91,4.54,2.23,3.5,4.5,5.92
ethnicity,4.98,5.0,6.65,4.41,3.32,5.41
tech,0.11,0.76,0.02,0.33,0.35,1.46
Lifestyle,2.09,3.66,1.23,2.41,4.26,5.79
leisure,0.0,0.0,0.02,0.28,0.42,2.04
home,0.06,0.51,0.01,0.21,0.21,1.17
work,1.19,2.67,1.03,2.24,2.64,4.24
money,0.58,1.75,0.05,0.51,1.1,3.4
relig,0.31,1.85,0.11,0.77,0.11,0.95
Physical,0.5,1.67,2.8,3.51,1.34,4.39
health,0.19,0.92,0.24,1.16,0.18,1.54
illness,0.04,0.52,0.0,0.0,0.13,1.4
wellness,0.01,0.21,0.0,0.0,0.0,0.0
mental,0.0,0.0,0.01,0.19,0.0,0.0
substances,0.0,0.0,0.0,0.0,0.03,0.46
sexual,0.01,0.25,0.0,0.0,0.06,0.71
food,0.01,0.24,0.0,0.0,0.23,2.25
death,0.27,1.29,2.51,3.42,0.58,2.57
need,0.98,2.0,0.37,1.32,0.18,1.19
want,0.0,0.0,0.0,0.0,0.2,1.12
acquire,0.04,0.49,0.29,1.22,0.56,1.92
lack,0.03,0.5,0.29,1.21,0.04,0.53
fulfill,0.0,0.0,0.11,0.81,0.06,0.54
fatigue,0.0,0.0,0.03,0.33,0.01,0.22
reward,0.03,0.4,0.4,1.68,0.04,0.5
risk,2.32,3.84,0.63,1.79,0.62,2.59
curiosity,0.51,1.51,0.36,1.27,0.11,0.75
allure,1.85,2.93,1.95,3.13,2.57,4.07
Perception,12.23,7.25,11.91,6.27,7.54,7.02
attention,0.73,1.82,0.38,1.35,0.17,1.09
motion,0.4,1.44,0.7,1.86,1.23,3.06
space,10.72,6.94,10.04,5.57,5.17,6.03
visual,0.39,1.34,0.73,1.74,0.83,2.38
auditory,0.04,0.5,0.05,0.53,0.16,1.08
feeling,0.03,0.34,0.03,0.35,0.07,1.19
time,0.74,1.79,0.34,1.35,2.8,4.92
focuspast,1.39,2.75,5.34,3.98,5.24,5.64
focuspresent,5.33,3.48,1.4,2.51,3.12,4.91
focusfuture,0.59,1.65,0.05,0.49,0.64,2.46
Conversation,0.0,0.0,0.0,0.0,0.18,1.16
netspeak,0.0,0.0,0.0,0.0,0.13,1.02
assent,0.0,0.0,0.0,0.0,0.05,0.56
nonflu,0.0,0.0,0.0,0.0,0.0,0.0
filler,0.0,0.0,0.0,0.0,0.0,0.0
AllPunc,7.97,3.89,9.66,5.99,24.8,16.32
Period,5.24,1.73,5.44,1.46,8.03,7.09
Comma,1.59,2.73,1.54,2.98,2.03,3.79
QMark,0.0,0.0,0.0,0.0,0.32,1.64
Exclam,0.0,0.0,0.0,0.0,0.21,1.67
Apostro,0.09,0.65,0.05,0.47,2.04,4.28
OtherP,1.05,2.13,2.63,3.66,12.17,10.5
Emoji,0.0,0.0,0.0,0.0,0.0,0.0
