Topic,Count,Name
-1,9985,-1_of_the_claim_to
0,767,0_ballots_election_votes_vote
1,605,1_vaccine_vaccines_vaccinated_covid19
2,316,2_cancer_water_can_drinking
3,274,3_muslim_kashmir_muslims_hindu
4,217,4_ukraine_ukrainian_aid_putin
5,197,5_temple_ayodhya_sculpture_shiva
6,189,6_covid19_variant_omicron_sarscov2
7,187,7_masks_mask_face_wearing
8,187,8_crore_rupees_rs_lakh
9,181,9_marcos_bongbong_ferdinand_marcoses
10,170,10_coronavirus_wuhan_china_virus
11,157,11_robredo_leni_vice_robredos
12,154,12_rape_raped_girl_teacher
13,141,13_coronavirus_cure_water_prevent
14,127,14_gun_background_assault_guns
15,124,15_lion_dog_lions_spotted
16,123,16_temple_statue_sultan_picture
17,118,17_philippines_manila_philippine_bay
18,118,18_wages_wage_unemployment_minimum
19,117,19_abortion_abortions_birth_parenthood
20,117,20_pelosi_nancy_speaker_pelosis
21,106,21_aquino_ninoy_philippines_benigno
22,105,22_news_annamalai_card_fake
23,103,23_crash_taliban_helicopter_crashed
24,97,24_deaths_flu_covid_covid19
25,95,25_tax_taxes_corporations_income
26,94,26_biden_joe_debate_interview
27,93,27_farmers_protest_farmer_delhi
28,88,28_flood_floods_pokot_landslide
29,87,29_slaves_slavery_abraham_fetterman
30,83,30_flooded_flood_river_chennai
31,82,31_coronavirus_virus_dna_corona
32,82,32_security_social_tax_taxes
33,81,33_stalin_mk_claim_dmk
34,81,34_beirut_israel_gaza_explosion
35,80,35_galwan_chinese_soldiers_ladakh
36,76,36_kenosha_rittenhouse_kyle_shooter
37,75,37_jobs_created_record_million
38,74,38_ukraine_ukrainian_russian_russia
39,72,39_ireland_northern_uk_eu
40,70,40_duterte_rodrigo_dutertes_filipinos
41,68,41_kenya_recruitment_huduma_namba
42,66,42_flag_flags_saffron_hoisted
43,65,43_buhari_nigerias_nigerian_muhammadu
44,64,44_raja_arjun_sampath_murugan
45,64,45_dead_okoth_ken_kibra
46,62,46_petrol_price_hike_fuel
47,62,47_trade_china_deficit_tariffs
48,62,48_gas_prices_oil_gallon
49,61,49_uhuru_kenyans_kenya_kenyatta
50,59,50_debt_trillion_deficit_billion
51,59,51_ruto_dp_rutos_migori
52,58,52_gandhi_rahul_sonia_gandhis
53,58,53_cup_cricket_t20_pakistani
54,58,54_impeachment_witnesses_inquiry_process
55,56,55_soros_george_nazi_ss
56,56,56_covid19_victims_19_patients
57,56,57_insurance_health_care_medicare
58,55,58_cow_beef_urine_cows
59,55,59_modi_narendra_pm_prime
60,54,60_isis_afghanistan_caliphate_kurds
61,54,61_advert_jobs_supermarket_job
62,53,62_nigeria_nigerias_polytechnic_nigerian
63,53,63_kamala_harris_she_rioters
64,52,64_tulsa_rally_donald_trump
65,52,65_toilet_crore_gold_tonnes
66,50,66_pfizer_vaccine_ceo_covid
67,49,67_barack_obama_donald_trump
68,48,68_tamilian_tamil_language_claim
69,47,69_antifa_capitol_supporters_stormed
70,47,70_turkey_earthquake_syria_2023
71,47,71_hydroxychloroquine_chloroquine_effective_treatment
72,46,72_supreme_court_judges_nominated
73,45,73_electric_coal_energy_batteries
74,45,74_something_yes_whichchoose_anses
75,44,75_ratan_neet_tata_tn
76,44,76_seats_elections_poll_exit
77,44,77_monkeypox_graphene_oxide_herpes
78,44,78_coins_school_aiims_tagore
79,44,79_ivermectin_machupo_paracetamol_treatment
80,43,80_gates_bill_melinda_vaccines
81,43,81_khmer_hun_cambodian_vietnamese
82,42,82_de_en_da_confiscar
83,42,83_child_kidnapping_abductor_kidnapper
84,42,84_whatsapp_impersonating_facebook_message
85,42,85_border_southern_migration_asylum
86,42,86_safaricom_website_offering_giveaways
87,41,87_jackson_sanders_bernie_porn
88,41,88_whistleblower_schiff_adam_conversation
89,41,89_choice_mcauliffe_terry_busing
90,41,90_prescription_drugs_drug_prices
91,41,91_italy_italian_coffins_corpses
92,40,92_pandemic_swine_flu_response
93,40,93_preexisting_conditions_always_protect
94,40,94_testing_tests_korea_tested
95,39,95_schools_students_school_grade
96,39,96_nato_trillion_rebuilt_billion
97,39,97_stimulus_student_forgiveness_loan
98,39,98_floyd_george_derek_chauvin
99,37,99_climate_change_global_warming
100,37,100_coronavirus_201_wound_covid19
101,36,101_khan_presence_jinnah_indiras
102,36,102_amit_shah_modi_indira
103,35,103_modi_pm_narendra_nehru
104,35,104_nelson_mandela_ferguson_apartheid
105,35,105_defund_police_yes_amendment
106,35,106_38000_cages_prison_administration
107,35,107_poverty_jobs_americans_unemployment
108,35,108_alec_baldwin_joe_socialist
109,34,109_jahangirpuri_christian_communal_nankana
110,34,110_modi_symbol_tamilisai_tweeted
111,34,111_gandhi_rahul_jodo_bharat
112,34,112_australia_australians_australian_claims
113,34,113_instagram_posting_permission_note
114,33,114_assam_jamia_islamia_millia
115,33,115_weight_fat_belly_loss
116,33,116_facebook_account_users_likes
117,32,117_epstein_jeffrey_epsteins_island
118,32,118_test_this_delay_thing
119,32,119_mall_sm_conditioners_baby
120,32,120_nominated_nobel_joe_jill
