,claim,url
0,Says Ukrainian President Volodymyr Zelenskyy said he wants America’s “sons and daughters to go die in Ukraine.”,https://www.politifact.com/factchecks/2023/mar/03/marjorie-taylor-greene/marjorie-taylor-greene-distorts-zelenskyys-comment/
1,"Ukrainian President Volodymyr Zelenskyy said, ""The U.S. will have to send their sons & daughters to Ukraine to fight.""",https://www.factcheck.org/2023/03/social-media-posts-misrepresent-zelenskyys-remarks-on-u-s-military-involvement/
2,I’ll eat ice cream wherever the hell I want to eat ice cream. #DarkBrandon #Kyiv #Ukraine #PresidentBiden #Biden,https://en.youturn.in/factcheck/photos-of-joe-biden-eating-icecream.html
3,Photos of an apartment building in Kyiv are evidence the war in Ukraine “is fake.”,https://www.politifact.com/factchecks/2023/feb/27/viral-image/the-war-in-ukraine-isnt-fake-and-these-photos-dont/
4,"""As reports that FEMA has turned down a request for help after the releasing of DEADLY chemicals over East Palestine Ohio, President Biden announces humanitarian aid for Ukraine.""",https://www.factcheck.org/2023/02/multiple-federal-agencies-supporting-east-palestine-contrary-to-partisan-claims/
5,“Putin decimates another adrenochrome warehouse in Ukraine.”,https://www.politifact.com/factchecks/2023/feb/23/blog-posting/claims-that-vladimir-putin-destroyed-an-adrenochro/
6,"“BREAKING: @JoeBiden Announced The US #TaxPayers Will Now Be PAYING The #Pensions & #Welfare For The People Of #Ukraine.""",https://www.factcheck.org/2023/02/bidens-april-2022-remark-about-some-ukraine-aid-covering-pensions-is-not-breaking-news/
7,Recent picture of US President Joe Biden having ice cream in Ukraine’s capital city Kyiv,https://factly.in/digitally-altered-image-shared-as-recent-picture-of-joe-biden-eating-ice-cream-in-ukraine/
8,"Volodymyr Zelensky ""calls for preventative nuclear attack against Russia.”",https://www.factcheck.org/2023/02/posts-misinterpret-zelensky-quote-on-preventive-actions-against-russia/
9,Russian President Vladimir Putin “intercepts adrenochrome shipment headed to United States.”,https://www.politifact.com/factchecks/2023/feb/16/blog-posting/vladimir-putin-didnt-intercept-shipment-of-chemica/
10,"President Joe Biden said: “The idea that we’re going to send tanks to Ukraine, that’s called World War III.”",https://www.factcheck.org/2023/02/posts-misquote-bidens-year-old-remarks-on-tanks-for-ukraine/
11,"Look, there are 50 former national intelligence folks who said that what he’s accusing me of is a Russian plan. They have said that this has all the characteristics — four, five former heads of the CIA, both parties, say what he’s saying is a bunch of garbage. Nobody believes it except him and his good friend Rudy Giuliani.”",https://www.washingtonpost.com/politics/2023/02/13/hunter-biden-laptop-claims-russian-disinfo/
12,"President Joe Biden said, “The idea that we’re going to send in tanks to Ukraine, that’s called World War III.”",https://www.politifact.com/factchecks/2023/feb/02/tweets/tweets-distort-bidens-comments-on-tanks-ukraine-an/
13,"“When I read the email, very, very detailed analysis of what’s happening in Ukraine. Actually, far more detailed than anything I got as a U.S. senator from the State Department ...This information was obviously fed to Hunter.”",https://www.washingtonpost.com/politics/2023/02/02/laptop-email-suggests-hunter-biden-read-newspapers-not-classified-documents/
14,"President Joe Biden said, “To the Ukrainian people, I say to them all, you might you might they they might be able to make right and they’re not able to.”",https://www.politifact.com/factchecks/2023/jan/30/viral-image/biden-stumbled-december-speech-altered-video-remov/
15,“Putin destroys adrenochrome lab in Ukraine.”,https://www.politifact.com/factchecks/2023/jan/25/blog-posting/fabricated-story-falsely-claims-vladimir-putin-des/
16,A video clip depicting a large group of people gathering in a bar and crying out after they watched a map of territory reclaim on a big screen was uploaded on Facebook.​ The video clip came with a claim saying they were Ukrainians cheering after their country’s counterattack had reclaimed many parts of territories from the Russian invasion.,https://cambodia.factcrescendo.com/english/an-old-video-of-football-fans-cheering-falsely-claimed-as-ukraines-war-victory/
17,Russia’s Army was “destroyed.”,https://www.politifact.com/factchecks/2022/dec/19/facebook-posts/no-russias-army-wasnt-destroyed/
18,"""We don’t need to pass $40 billion large Democrat bills ... to send $8 billion to Ukraine.""",https://www.factcheck.org/2022/12/u-s-aid-to-ukraine-explained/
